 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3,Area4,Mean4,Min4,Max4
62,955,240.463,-38,1178,1091,340.773,-20,1677,364,315.360,-23,2551,3658,258.382,-65,1681
63,955,264.009,-43,1409,1091,385.013,-1,1437,364,304.445,-10,2345,3658,255.359,-48,1608
64,955,255.965,-50,1152,1091,376.739,-29,1540,364,284.099,-20,1955,3658,226.627,-59,1733
65,955,234.709,-16,1254,1091,312.058,-38,1859,364,260.014,-10,1976,3658,181.230,-60,1393
66,955,211.095,-36,1230,1091,311.537,-49,2012,364,211.585,-13,2156,3658,162.261,-116,1845
67,955,190.661,-78,1062,1091,268.933,-110,1627,364,195.352,-12,1774,3658,152.848,-86,1601
68,955,167.550,-114,1121,1091,249.095,-66,1366,364,190.280,-29,1699,3658,141.549,-43,1608
69,955,155.419,-38,1139,1091,239.872,-40,1968,364,191.802,-25,2735,3658,136.022,-83,1351
70,955,146.987,-43,1278,1091,272.520,-22,1613,364,182.107,-16,2011,3658,133.491,-63,1149
71,955,149.143,-53,891,1091,278.946,-28,1504,364,179.673,-76,1973,3658,131.291,-83,1488
72,955,155.266,-19,1112,1091,254.380,-17,1554,364,177.151,-10,2038,3658,132.790,-42,1474
73,955,144.652,-22,1204,1091,239.412,-27,1350,364,176.258,-30,1966,3658,130.163,-43,1521
74,955,136.946,-85,810,1091,235.952,-66,1546,364,166.560,-49,1580,3658,129.374,-41,1164
75,955,138.364,-69,994,1091,225.764,-33,1284,364,165.769,-49,1618,3658,127.631,-43,1549
76,955,138.245,-35,1147,1091,244.629,-14,1428,364,165.456,-55,1795,3658,125.310,-32,1499
77,955,128.335,-31,1048,1091,236.551,-52,1316,364,177.629,-90,2153,3658,123.049,-88,1357
78,955,132.422,-43,904,1091,223.171,-44,1310,364,159.753,-35,1738,3658,122.992,-74,1496
79,955,131.879,-63,1232,1091,220.123,-15,1531,364,162.745,-6,1969,3658,120.246,-42,1331
80,955,136.359,-60,1076,1091,231.839,-40,1256,364,161.772,-88,2346,3658,121.276,-53,1235
81,955,134.286,-74,1085,1091,244.915,-26,1302,364,161.387,-68,2512,3658,119.756,-41,1535
82,955,154.413,-89,1229,1091,235.267,-31,1457,364,158.978,-51,1708,3658,118.632,-88,1345
83,955,146.845,-23,1169,1091,222.477,-113,1375,364,165.385,-52,2188,3658,118.418,-53,1233
84,955,136.052,-34,879,1091,239.352,-47,1480,364,169.195,-101,1821,3658,118.009,-112,1564
85,955,128.592,-37,1337,1091,225.390,-32,1297,364,168.970,-15,1794,3658,116.933,-132,1177
86,955,146.751,-21,939,1091,224.820,-24,1835,364,160.492,-20,1562,3658,117.304,-121,1694
87,955,137.740,-82,1147,1091,212.135,-6,1546,364,161.030,-21,1774,3658,117.027,-41,1457
88,955,128.620,-5,1073,1091,229.133,-44,1456,364,163.338,-11,2437,3658,116.693,-41,1488
89,955,151.143,-11,1157,1091,236.227,-37,1802,364,155.536,-21,1688,3658,112.558,-32,1688
90,955,158.704,-41,1249,1091,224.485,-57,1449,364,166.118,-60,2170,3658,113.385,-48,1412
91,955,153.710,-47,995,1091,232.984,-27,1366,364,160.371,-25,1789,3658,114.676,-63,1279
92,955,149.569,-17,1007,1091,226.049,-58,1491,364,160.497,-88,2469,3658,115.164,-83,1492
93,955,166.024,-29,1248,1091,216.599,-23,1243,364,166.316,-33,1781,3658,115.396,-75,1650
94,955,161.715,-20,1200,1091,253.280,-87,1377,364,168.168,-42,2271,3658,112.984,-48,1526
95,955,156.325,-20,912,1091,254.058,-51,1625,364,167.214,-24,2199,3658,113.689,-128,1471
96,955,144.588,-33,962,1091,236.491,-47,1468,364,164.635,-20,1975,3658,111.097,-53,1602
97,955,154.204,-48,1014,1091,241.196,-28,1783,364,162.626,-34,1827,3658,113.737,-62,1513
98,955,132.771,-40,1041,1091,223.189,-114,1570,364,167.313,-48,2397,3658,110.248,-74,1452
99,955,138.432,-11,981,1091,219.899,-59,1310,364,167.953,-140,1770,3658,111.809,-92,1246
100,955,134.091,-33,1105,1091,221.183,-46,1254,364,167.492,-63,1966,3658,112.955,-30,1430
101,955,141.424,-35,945,1091,257.069,-41,1411,364,173.266,-46,2561,3658,111.302,-52,1250
102,955,136.616,-61,1060,1091,270.609,-30,1435,364,155.712,-21,1941,3658,112.414,-24,1381
103,955,141.261,-84,1238,1091,237.165,-16,1344,364,177.810,-10,1972,3658,109.731,-41,1491
104,955,144.242,-56,1493,1091,227.196,-120,1318,364,173.857,-87,2350,3658,111.337,-71,1488
105,955,131.918,-22,1146,1091,220.323,-72,1415,364,167.495,-2,1970,3658,112.471,-94,1432
106,955,131.569,-46,1214,1091,218.430,-51,1425,364,167.203,-32,2539,3658,107.965,-97,1419
107,955,134.658,-66,1213,1091,227.375,-29,1135,364,159.854,-73,2091,3658,109.466,-57,1443
108,955,131.499,-29,1114,1091,216.275,-68,1304,364,157.066,-20,1840,3658,110.649,-56,1624
109,955,154.038,-12,1351,1091,220.996,-32,1288,364,170.261,-16,2111,3658,109.420,-42,1435
110,955,137.214,-36,1018,1091,231.517,-41,1332,364,168.533,-38,2286,3658,111.303,-54,1420
111,955,130.902,-47,1176,1091,239.151,-43,1303,364,168.423,-16,2418,3658,110.260,-118,1499
112,955,128.540,-138,931,1091,243.647,-17,1630,364,157.640,-56,1984,3658,109.403,-41,1422
113,955,198.952,-16,1121,1091,291.092,-10,1421,364,283.637,-9,2039,3658,254.885,-56,1768
114,955,259.788,-39,1146,1091,381.672,-24,1769,364,299.519,-18,1914,3658,261.365,-59,1420
115,955,255.151,-17,1147,1091,398.124,1,2096,364,294.970,-16,2071,3658,231.131,-80,1976
116,955,240.044,-16,1145,1091,351.425,-26,1707,364,245.571,-5,2070,3658,186.700,-68,1359
117,955,213.080,-33,1716,1091,307.257,-50,1603,364,236.126,-5,2348,3658,163.510,-45,1337
118,955,193.785,-51,1381,1091,271.952,-12,1334,364,224.986,-8,2087,3658,150.217,-62,1321
119,955,174.793,-40,1154,1091,257.184,-78,1529,364,199.385,-16,1702,3658,142.707,-53,1319
120,955,159.939,-18,1182,1091,252.722,-17,1213,364,186.426,-11,1989,3658,136.642,-52,1370
121,955,152.808,-49,1025,1091,242.443,-35,1440,364,179.198,5,2087,3658,133.664,-120,1565
122,955,144.348,-25,1089,1091,230.855,-15,1537,364,173.475,-34,1840,3658,129.334,-129,1388
123,955,142.142,-67,927,1091,224.499,-51,1464,364,177.962,-19,1809,3658,132.060,-56,1379
124,955,154.161,-35,1133,1091,234.967,-13,1274,364,174.146,-18,1550,3658,126.621,-29,1280
125,955,145.848,-26,1007,1091,223.472,-12,1133,364,169.923,-46,1754,3658,126.381,-54,1169
126,955,138.465,-63,962,1091,218.790,-78,1686,364,163.879,-67,1932,3658,124.856,-46,1398
127,955,130.452,-43,892,1091,217.936,-43,1955,364,166.676,-55,1851,3658,122.844,-72,1239
128,955,135.556,-92,1033,1091,216.127,-44,1313,364,163.934,-39,1699,3658,123.199,-60,1938
129,955,134.794,-8,949,1091,239.270,-45,1313,364,162.467,-43,1848,3658,121.113,-59,1456
130,955,156.166,-22,930,1091,215.800,-23,1425,364,165.816,-2,2003,3658,122.277,-72,1524
131,955,137.330,-78,716,1091,211.703,-28,1347,364,156.313,-26,1674,3658,119.010,-80,1273
132,955,138.956,-31,1100,1091,216.033,-74,1430,364,176.308,-43,1718,3658,120.536,-31,1515
133,955,132.030,-55,1087,1091,238.314,-68,1443,364,160.588,-28,1483,3658,115.205,-79,1257
134,955,133.008,-73,1054,1091,217.216,-44,1918,364,161.343,-5,1636,3658,118.159,-62,1321
135,955,148.304,-49,1033,1091,221.135,-60,1377,364,167.217,-69,1894,3658,116.384,-73,1350
136,955,139.657,-57,953,1091,253.485,-46,1231,364,162.036,-46,1298,3658,113.233,-48,1392
137,955,135.190,-37,1020,1091,253.567,-50,1171,364,176.725,-22,1785,3658,115.441,-68,1494
138,955,133.668,-38,865,1091,227.707,-17,1218,364,157.324,-82,1623,3658,116.683,-38,1363
139,955,146.474,-78,1298,1091,237.850,-26,1180,364,177.085,-32,1650,3658,114.698,-84,1248
140,955,137.866,-37,909,1091,241.745,-45,1355,364,167.536,-68,1635,3658,113.721,-64,1372
141,955,132.951,-31,1023,1091,221.925,-18,1362,364,171.129,-58,1608,3658,113.439,-46,1657
142,955,130.704,-37,964,1091,213.178,-32,1182,364,163.360,-31,1578,3658,113.497,-56,1428
143,955,129.734,-72,822,1091,209.416,-45,1383,364,161.514,-29,1530,3658,113.917,-90,1067
144,955,127.708,-23,951,1091,238.979,-153,1617,364,161.805,-27,1655,3658,113.208,-87,1387
145,955,156.374,-33,962,1091,234.736,-23,1332,364,171.918,-27,1897,3658,111.736,-62,1145
146,955,154.841,-49,1079,1091,222.951,-77,1474,364,153.453,-63,1314,3658,112.428,-79,1170
147,955,133.840,-44,914,1091,213.793,-72,1211,364,164.041,-58,1906,3658,111.247,-46,1267
148,955,170.639,-47,1102,1091,210.864,-41,1196,364,169.665,-66,1591,3658,113.032,-68,1270
149,955,138.075,-39,888,1091,223.952,-30,1068,364,169.135,-139,1760,3658,111.041,-62,1362
150,955,167.194,-20,1136,1091,213.706,-40,1201,364,172.368,-43,1758,3658,111.043,-42,1243
151,955,142.659,-55,934,1091,207.088,-74,1340,364,159.360,-50,1564,3658,110.524,-107,1474
152,955,129.889,-33,942,1091,224.900,-23,1106,364,153.489,-27,1777,3658,110.783,-40,1115
153,955,148.473,-27,996,1091,217.787,-21,1437,364,176.036,-25,1991,3658,107.870,-70,1120
154,955,136.583,-39,1084,1091,222.183,-26,1395,364,157.742,-15,1573,3658,110.752,-57,1244
155,955,133.454,-36,931,1091,224.802,-36,1300,364,165.951,-97,2570,3658,112.358,-50,1409
156,955,131.202,-25,968,1091,218.718,-42,1205,364,153.931,-54,2432,3658,110.074,-45,1110
157,955,129.886,-45,1132,1091,237.739,-51,1430,364,167.201,-23,1894,3658,108.610,-44,1430
158,955,132.641,-65,950,1091,221.463,-18,1510,364,173.352,-88,2069,3658,110.643,-90,1384
159,955,138.945,-60,1229,1091,268.103,-82,1216,364,238.978,-23,1937,3658,230.731,-40,1736
160,955,192.092,-43,1182,1091,289.854,-27,1434,364,251.376,-55,1861,3658,227.898,-63,1603
161,955,222.578,-21,1131,1091,273.069,-49,1333,364,195.802,-18,1788,3658,167.264,-37,1982
162,955,186.561,-55,1456,1091,267.658,-37,1257,364,175.555,-36,1637,3658,138.033,-54,1222
163,955,155.467,-20,1358,1091,229.208,-27,1305,364,172.571,-53,1597,3658,123.701,-34,1360
164,955,140.800,-44,1079,1091,222.484,-40,1209,364,167.783,-40,1726,3658,120.042,-52,2191
165,955,152.205,-41,984,1091,243.499,-49,1459,364,172.464,-32,1866,3658,115.767,-53,1126
166,955,139.124,-30,973,1091,244.598,-44,1515,364,164.151,-17,1569,3658,113.885,-128,1424
167,955,151.142,-16,1084,1091,224.811,-51,1365,364,173.184,-47,2138,3658,112.914,-113,1380
168,955,146.229,-29,1130,1091,232.240,-46,1328,364,165.742,-71,1512,3658,116.242,-81,1440
169,955,129.003,-26,926,1091,240.538,-23,1187,364,168.706,-21,1786,3658,111.504,-45,1313
170,955,133.966,-35,939,1091,212.126,-36,1196,364,162.640,-38,1871,3658,112.622,-48,1262
171,955,162.528,-66,1015,1091,212.485,-66,1174,364,162.360,-15,1690,3658,109.948,-106,1313
172,955,136.824,-43,996,1091,210.910,-105,1364,364,155.635,-68,1636,3658,111.131,-82,1593
173,955,141.830,-86,1090,1091,207.286,-22,1443,364,155.646,-73,1683,3658,111.703,-39,1153
174,955,136.991,-68,967,1091,211.057,-27,1170,364,164.143,-39,1627,3658,111.405,-56,1324
175,955,144.497,-17,1165,1091,213.999,-27,1215,364,157.214,-22,1500,3658,109.223,-74,1587
176,955,131.759,-58,838,1091,204.473,-41,1240,364,156.495,-22,1664,3658,108.436,-62,1391
177,955,132.712,-25,1004,1091,212.713,-68,1427,364,159.712,-65,2000,3658,109.257,-83,1403
178,955,132.498,-85,1391,1091,242.157,-53,1320,364,164.728,-43,1466,3658,106.952,-27,1203
179,955,128.739,-14,1144,1091,229.345,-46,1323,364,156.997,-76,1704,3658,110.345,-42,1415
180,955,134.087,-28,1169,1091,206.687,-30,1261,364,150.920,-75,1449,3658,109.024,-74,1628
181,955,137.854,-34,1130,1091,214.082,-29,1560,364,155.047,-39,1701,3658,109.102,-45,1197
182,955,159.270,-41,953,1091,203.275,-53,1055,364,164.456,-53,1818,3658,107.657,-24,1285
183,955,176.866,-67,1141,1091,224.354,-29,1255,364,160.324,-36,1718,3658,107.928,-52,1159
184,955,172.267,-47,1106,1091,215.066,-25,1561,364,173.223,-144,1896,3658,106.638,-59,1337
185,955,151.697,-30,992,1091,252.412,-49,1388,364,158.453,-33,1599,3658,109.943,-38,1101
186,955,133.106,-29,1219,1091,231.709,-36,1424,364,172.442,-70,1508,3658,107.408,-52,1458
187,955,143.202,-37,998,1091,222.216,-88,1232,364,157.231,-35,1727,3658,108.472,-79,1074
